#Query,DatabaseMatch,PrimaryCity,SecondaryCity,PredictedSubtype,Correctness
B.Birmingham_AL.Birmingham_AL.NAM.US.9720.1990.U21135,B.ZA.1985.R84.8710.FJ647145,Birmingham_AL,Birmingham_AL,B,correct
B.Birmingham.Birmingham_AL.NAM.US.9027.2000.FJ496184,B.ZA.1985.R84.8710.FJ647145,Birmingham,Birmingham_AL,B,correct
B.Birmingham.Birmingham_AL.NAM.US.9027.2000.FJ496182,B.ZA.1985.R84.8710.FJ647145,Birmingham,Birmingham_AL,B,correct
B.Birmingham.Birmingham_AL.NAM.US.9025.2000.FJ496181,B.ZA.1985.R84.8710.FJ647145,Birmingham,Birmingham_AL,B,correct
B.Birmingham.Birmingham_AL.NAM.US.9027.2000.FJ496180,B.ZA.1985.R84.8710.FJ647145,Birmingham,Birmingham_AL,B,correct
B.Birmingham.Birmingham_AL.NAM.US.9027.2000.FJ496179,B.ZA.1985.R84.8710.FJ647145,Birmingham,Birmingham_AL,B,correct
B.Birmingham.Birmingham_AL.NAM.US.9026.2000.FJ496178,B.ZA.1985.R84.8710.FJ647145,Birmingham,Birmingham_AL,B,correct
B.Birmingham.Birmingham_AL.NAM.US.9027.2000.FJ496177,B.ZA.1985.R84.8710.FJ647145,Birmingham,Birmingham_AL,B,correct
B.Birmingham.Birmingham_AL.NAM.US.9027.2000.FJ496176,B.ZA.1985.R84.8710.FJ647145,Birmingham,Birmingham_AL,B,correct
B.Birmingham.Birmingham_AL.NAM.US.9027.2000.FJ496175,B.ZA.1985.R84.8710.FJ647145,Birmingham,Birmingham_AL,B,correct
B.Birmingham.Birmingham_AL.NAM.US.9028.2000.FJ496174,B.ZA.1985.R84.8710.FJ647145,Birmingham,Birmingham_AL,B,correct
B.Birmingham.Birmingham_AL.NAM.US.9027.2000.FJ496172,B.ZA.1985.R84.8710.FJ647145,Birmingham,Birmingham_AL,B,correct
B.Birmingham.Birmingham_AL.NAM.US.9028.2000.FJ496171,B.ZA.1985.R84.8710.FJ647145,Birmingham,Birmingham_AL,B,correct
B.Birmingham.Birmingham_AL.NAM.US.9028.2000.FJ496170,B.ZA.1985.R84.8710.FJ647145,Birmingham,Birmingham_AL,B,correct
B.Birmingham.Birmingham_AL.NAM.US.9028.2000.FJ496169,B.ZA.1985.R84.8710.FJ647145,Birmingham,Birmingham_AL,B,correct
B.Birmingham.Birmingham_AL.NAM.US.9027.2000.FJ496168,B.ZA.1985.R84.8710.FJ647145,Birmingham,Birmingham_AL,B,correct
B.Birmingham.Birmingham_AL.NAM.US.9027.2000.FJ496167,B.ZA.1985.R84.8710.FJ647145,Birmingham,Birmingham_AL,B,correct
B.Birmingham_AL.Birmingham_AL.NAM.US.9026.1990.FJ496166,B.ZA.1985.R84.8710.FJ647145,Birmingham_AL,Birmingham_AL,B,correct
B.Birmingham_AL.Birmingham_AL.NAM.US.9028.1990.FJ496165,B.ZA.1985.R84.8710.FJ647145,Birmingham_AL,Birmingham_AL,B,correct
B.Birmingham_AL.Birmingham_AL.NAM.US.9026.1990.FJ496164,B.ZA.1985.R84.8710.FJ647145,Birmingham_AL,Birmingham_AL,B,correct
B.Birmingham_AL.Birmingham_AL.NAM.US.9022.1990.FJ496163,B.ZA.1985.R84.8710.FJ647145,Birmingham_AL,Birmingham_AL,B,correct
B.Birmingham_AL.Birmingham_AL.NAM.US.9026.1990.FJ496162,B.ZA.1985.R84.8710.FJ647145,Birmingham_AL,Birmingham_AL,B,correct
B.Birmingham_AL.Birmingham_AL.NAM.US.9026.1990.FJ496161,B.ZA.1985.R84.8710.FJ647145,Birmingham_AL,Birmingham_AL,B,correct
B.Birmingham_AL.Birmingham_AL.NAM.US.9026.1990.FJ496160,B.ZA.1985.R84.8710.FJ647145,Birmingham_AL,Birmingham_AL,B,correct
B.Birmingham_AL.Birmingham_AL.NAM.US.9026.1990.FJ496159,B.ZA.1985.R84.8710.FJ647145,Birmingham_AL,Birmingham_AL,B,correct
B.Birmingham_AL.Birmingham_AL.NAM.US.9026.1990.FJ496158,B.ZA.1985.R84.8710.FJ647145,Birmingham_AL,Birmingham_AL,B,correct
B.Birmingham_AL.Birmingham_AL.NAM.US.9033.1991.FJ496150,B.ZA.1985.R84.8710.FJ647145,Birmingham_AL,Birmingham_AL,B,correct
B.Birmingham_AL.Birmingham_AL.NAM.US.9033.1991.FJ496149,B.ZA.1985.R84.8710.FJ647145,Birmingham_AL,Birmingham_AL,B,correct
B.Birmingham_AL.Birmingham_AL.NAM.US.9032.1991.FJ496148,B.ZA.1985.R84.8710.FJ647145,Birmingham_AL,Birmingham_AL,B,correct
B.Birmingham_AL.Birmingham_AL.NAM.US.9033.1991.FJ496147,B.ZA.1985.R84.8710.FJ647145,Birmingham_AL,Birmingham_AL,B,correct
B.Birmingham_AL.Birmingham_AL.NAM.US.9020.1991.FJ496146,B.ZA.1985.R84.8710.FJ647145,Birmingham_AL,Birmingham_AL,B,correct
B.Birmingham_AL.Birmingham_AL.NAM.US.9033.1991.FJ496145,B.ZA.1985.R84.8710.FJ647145,Birmingham_AL,Birmingham_AL,B,correct
B.Alabama.Birmingham_AL.NAM.US.9718.2000.JN944948,B.ZA.1985.R84.8710.FJ647145,Alabama,Birmingham_AL,B,correct
B.Alabama.Birmingham_AL.NAM.US.9718.2000.JN944938,B.ZA.1985.R84.8710.FJ647145,Alabama,Birmingham_AL,B,correct
B.Alabama.Birmingham_AL.NAM.US.9726.1991.JN944928,B.ZA.1985.R84.8710.FJ647145,Alabama,Birmingham_AL,B,correct
B.Alabama.Birmingham_AL.NAM.US.9029.2001.JN944914,B.ZA.1985.R84.8710.FJ647145,Alabama,Birmingham_AL,B,correct
B.Alabama.Birmingham_AL.NAM.US.9029.2001.JN944912,B.ZA.1985.R84.8710.FJ647145,Alabama,Birmingham_AL,B,correct
B.Alabama.Birmingham_AL.NAM.US.9726.1991.JN944945,B.ZA.1985.R84.8710.FJ647145,Alabama,Birmingham_AL,B,correct
B.Alabama.Birmingham_AL.NAM.US.9742.2001.JN944943,B.ZA.1985.R84.8710.FJ647145,Alabama,Birmingham_AL,B,correct
B.Alabama.Birmingham_AL.NAM.US.9029.2001.JN944915,B.ZA.1985.R84.8710.FJ647145,Alabama,Birmingham_AL,B,correct
B.Alabama.Birmingham_AL.NAM.US.9029.2001.JN944913,B.ZA.1985.R84.8710.FJ647145,Alabama,Birmingham_AL,B,correct
B.Alabama.Birmingham_AL.NAM.US.9742.2001.JN944911,B.ZA.1985.R84.8710.FJ647145,Alabama,Birmingham_AL,B,correct
B.COLUMBIANA_AL.Columbiana_AL.NAM.US.9016.2004.EU547186,B.ZA.1985.R84.8710.FJ647145,COLUMBIANA_AL,Columbiana_AL,B,correct
B.Alabama.Huntsville_AL.NAM.US.9847.2000.JN944946,B.ZA.1985.R84.8710.FJ647145,Alabama,Huntsville_AL,B,correct
B.Alabama.Huntsville_AL.NAM.US.9121.2000.JN944934,B.ZA.1985.R84.8710.FJ647145,Alabama,Huntsville_AL,B,correct
B.Alabama.Huntsville_AL.NAM.US.9120.2000.JN944932,B.ZA.1985.R84.8710.FJ647145,Alabama,Huntsville_AL,B,correct
B.Alabama.Huntsville_AL.NAM.US.9847.2000.JN944930,B.ZA.1985.R84.8710.FJ647145,Alabama,Huntsville_AL,B,correct
B.Alabama.Huntsville_AL.NAM.US.9121.2000.JN944933,B.ZA.1985.R84.8710.FJ647145,Alabama,Huntsville_AL,B,correct
B.Alabama.Huntsville_AL.NAM.US.9120.2000.JN944931,B.ZA.1985.R84.8710.FJ647145,Alabama,Huntsville_AL,B,correct
B.Los_Angeles.Los_Angeles.NAM.US.9637.1997.AB078005,B.ZA.1985.R84.8710.FJ647145,Los_Angeles,Los_Angeles,B,correct
B.North_Carolina.NC.NAM.US.9048.2006.FJ496007,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.9048.2006.FJ496006,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.9048.2006.FJ496005,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.9048.2006.FJ496004,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.9037.2006.FJ496003,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.9048.2006.FJ496002,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.9048.2006.FJ496001,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.9048.2006.FJ496000,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.9027.2006.FJ495943,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.9027.2006.FJ495942,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.9028.2006.FJ495941,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.9027.2006.FJ495940,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.9027.2006.FJ495939,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.9027.2006.FJ495937,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.8990.2006.FJ495826,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.8990.2006.FJ495825,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.8990.2006.FJ495824,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.8990.2006.FJ495823,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.8990.2006.FJ495822,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.8990.2006.FJ495821,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.8990.2006.FJ495820,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.8989.2006.FJ495819,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.8990.2006.FJ495818,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.9637.2006.JN944940,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.9760.2006.JN944941,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.9601.2006.JN944939,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.9760.2006.JN944909,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.9721.2006.JN944907,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.North_Carolina.NC.NAM.US.9684.2006.JN944905,B.ZA.1985.R84.8710.FJ647145,North_Carolina,NC,B,correct
B.N.NC.NAM.US.9012.2006.KY112196,B.ZA.1985.R84.8710.FJ647145,N,NC,B,correct
B.N.NC.NAM.US.8961.2006.KY112195,B.ZA.1985.R84.8710.FJ647145,N,NC,B,correct
B.N.NC.NAM.US.9007.2006.KY112194,B.ZA.1985.R84.8710.FJ647145,N,NC,B,correct
